,2017-11-06 00:00:00,2017-11-13 00:00:00,2017-11-20 00:00:00,2017-11-27 00:00:00,2017-12-04 00:00:00,2017-12-11 00:00:00,2017-12-18 00:00:00,2017-12-25 00:00:00,2018-01-01 00:00:00,2018-01-08 00:00:00,2018-01-15 00:00:00,2018-01-22 00:00:00,2018-01-29 00:00:00,2018-02-05 00:00:00,2018-02-12 00:00:00,2018-02-19 00:00:00,2018-02-26 00:00:00,2018-03-05 00:00:00,2018-03-12 00:00:00,2018-03-19 00:00:00,2018-03-26 00:00:00,2018-04-02 00:00:00,2018-04-09 00:00:00,2018-04-16 00:00:00,2018-04-23 00:00:00,2018-04-30 00:00:00,total
instanton,48.0,46,53.0,55.0,59.0,62.0,63.0,63.0,63.0,64.0,68.0,65.0,64.0,61.0,60.0,62.0,61.0,64.0,64.0,67.0,68.0,69.0,67.0,67.0,67.0,71.0,120
lowenergy,64.0,66,67.0,67.0,69.0,69.0,65.0,67.0,63.0,62.0,65.0,64.0,63.0,61.0,59.0,59.0,60.0,58.0,54.0,54.0,56.0,56.0,53.0,53.0,58.0,57.0,120
poincare,51.0,51,49.0,52.0,54.0,53.0,57.0,58.0,57.0,57.0,61.0,60.0,57.0,64.0,58.0,56.0,56.0,55.0,52.0,51.0,52.0,57.0,64.0,66.0,69.0,68.0,119
baryon,52.0,55,62.0,62.0,62.0,52.0,49.0,58.0,62.0,59.0,55.0,53.0,54.0,55.0,60.0,64.0,66.0,61.0,61.0,61.0,64.0,66.0,67.0,66.0,68.0,67.0,119
brst,51.0,50,56.0,57.0,55.0,56.0,61.0,61.0,61.0,62.0,63.0,59.0,59.0,62.0,62.0,66.0,63.0,65.0,65.0,68.0,70.0,69.0,69.0,53.0,54.0,61.0,117
holography,60.0,58,58.0,59.0,60.0,63.0,60.0,61.0,63.0,62.0,61.0,59.0,58.0,59.0,56.0,58.0,60.0,56.0,55.0,55.0,50.0,55.0,58.0,57.0,56.0,56.0,117
earlier,43.0,44,47.0,46.0,48.0,49.0,49.0,50.0,52.0,52.0,51.0,50.0,51.0,51.0,54.0,53.0,55.0,58.0,62.0,61.0,61.0,63.0,63.0,64.0,68.0,68.0,117
iib,53.0,57,60.0,60.0,60.0,59.0,66.0,70.0,70.0,72.0,70.0,71.0,72.0,72.0,72.0,74.0,75.0,75.0,68.0,72.0,73.0,72.0,73.0,72.0,70.0,66.0,117
kahler,53.0,56,56.0,59.0,63.0,64.0,57.0,58.0,58.0,58.0,56.0,59.0,56.0,56.0,54.0,51.0,47.0,47.0,45.0,46.0,50.0,52.0,47.0,55.0,57.0,61.0,117
kerr,48.0,50,47.0,44.0,46.0,42.0,43.0,46.0,47.0,45.0,45.0,41.0,43.0,44.0,45.0,44.0,45.0,43.0,48.0,54.0,55.0,51.0,53.0,59.0,66.0,67.0,109
antide,58.0,60,59.0,57.0,58.0,59.0,58.0,57.0,61.0,60.0,57.0,61.0,60.0,62.0,60.0,59.0,60.0,56.0,51.0,53.0,50.0,48.0,48.0,50.0,50.0,48.0,108
energymomentum,49.0,46,46.0,53.0,54.0,55.0,53.0,53.0,53.0,53.0,50.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0,53.0,54.0,52.0,58.0,59.0,58.0,56.0,105
slowroll,51.0,51,51.0,53.0,52.0,53.0,52.0,56.0,59.0,56.0,54.0,51.0,50.0,50.0,52.0,54.0,56.0,54.0,50.0,48.0,49.0,48.0,48.0,51.0,56.0,54.0,103
quasinormal,49.0,52,50.0,50.0,49.0,54.0,55.0,60.0,63.0,62.0,65.0,59.0,59.0,60.0,56.0,54.0,57.0,54.0,47.0,48.0,52.0,56.0,58.0,59.0,61.0,59.0,102
gluon,56.0,57,52.0,49.0,49.0,48.0,41.0,40.0,41.0,42.0,42.0,41.0,38.0,41.0,40.0,40.0,43.0,40.0,41.0,44.0,45.0,40.0,44.0,43.0,46.0,46.0,102
compactifications,53.0,54,53.0,53.0,53.0,51.0,54.0,67.0,63.0,61.0,60.0,56.0,55.0,55.0,54.0,57.0,54.0,53.0,50.0,52.0,55.0,56.0,55.0,53.0,50.0,50.0,101
fourpoint,41.0,44,52.0,54.0,53.0,57.0,57.0,59.0,57.0,58.0,58.0,57.0,58.0,59.0,60.0,61.0,58.0,60.0,61.0,57.0,60.0,62.0,64.0,66.0,61.0,58.0,100
spinors,49.0,46,46.0,46.0,44.0,42.0,42.0,42.0,42.0,41.0,40.0,40.0,52.0,50.0,52.0,57.0,58.0,64.0,60.0,60.0,60.0,61.0,62.0,61.0,57.0,54.0,99
worldsheet,47.0,56,57.0,61.0,59.0,57.0,58.0,60.0,60.0,60.0,58.0,57.0,57.0,56.0,56.0,55.0,55.0,53.0,52.0,54.0,54.0,57.0,57.0,54.0,49.0,55.0,98
lowest,52.0,55,55.0,56.0,52.0,49.0,49.0,46.0,48.0,48.0,49.0,46.0,45.0,46.0,48.0,48.0,49.0,50.0,46.0,46.0,46.0,48.0,46.0,44.0,44.0,42.0,97
timedependent,43.0,37,39.0,41.0,36.0,36.0,35.0,42.0,43.0,44.0,44.0,42.0,42.0,45.0,44.0,47.0,48.0,48.0,49.0,55.0,53.0,50.0,50.0,51.0,53.0,55.0,96
tduality,50.0,49,45.0,44.0,44.0,46.0,50.0,50.0,46.0,44.0,44.0,44.0,41.0,41.0,40.0,38.0,40.0,39.0,40.0,46.0,50.0,49.0,49.0,50.0,46.0,45.0,96
qed,43.0,38,40.0,40.0,37.0,36.0,34.0,38.0,40.0,42.0,38.0,39.0,41.0,44.0,46.0,48.0,49.0,47.0,49.0,50.0,49.0,49.0,48.0,48.0,52.0,54.0,96
compactification,44.0,43,44.0,44.0,45.0,43.0,47.0,47.0,46.0,41.0,40.0,38.0,41.0,41.0,40.0,42.0,41.0,41.0,49.0,51.0,54.0,56.0,53.0,52.0,54.0,52.0,96
majorana,60.0,60,63.0,67.0,64.0,67.0,63.0,64.0,60.0,59.0,53.0,52.0,56.0,43.0,43.0,42.0,35.0,36.0,36.0,35.0,30.0,31.0,34.0,32.0,31.0,34.0,95
hooft,37.0,41,44.0,44.0,51.0,47.0,48.0,47.0,44.0,46.0,46.0,46.0,44.0,43.0,45.0,50.0,50.0,52.0,54.0,54.0,57.0,57.0,59.0,60.0,59.0,58.0,94
bh,59.0,58,57.0,53.0,53.0,49.0,42.0,38.0,39.0,39.0,39.0,36.0,33.0,33.0,39.0,39.0,43.0,41.0,35.0,30.0,35.0,35.0,36.0,37.0,37.0,35.0,94
gravitons,53.0,54,57.0,58.0,60.0,59.0,56.0,55.0,55.0,55.0,57.0,51.0,50.0,51.0,48.0,46.0,48.0,45.0,43.0,43.0,40.0,40.0,45.0,44.0,42.0,41.0,92
onshell,38.0,38,41.0,39.0,40.0,40.0,42.0,48.0,51.0,51.0,51.0,49.0,49.0,50.0,53.0,56.0,57.0,51.0,50.0,50.0,52.0,51.0,52.0,53.0,51.0,52.0,91
fermi,33.0,36,37.0,36.0,39.0,39.0,33.0,41.0,41.0,41.0,44.0,45.0,43.0,43.0,45.0,45.0,45.0,45.0,47.0,47.0,48.0,47.0,51.0,52.0,58.0,58.0,91
offshell,48.0,45,48.0,50.0,51.0,52.0,49.0,51.0,50.0,45.0,45.0,45.0,43.0,41.0,42.0,39.0,41.0,43.0,45.0,46.0,47.0,46.0,43.0,41.0,40.0,40.0,91
sym,39.0,38,42.0,40.0,40.0,42.0,40.0,44.0,43.0,43.0,43.0,42.0,42.0,41.0,44.0,46.0,49.0,51.0,50.0,50.0,49.0,49.0,50.0,54.0,51.0,52.0,89
superstring,40.0,38,39.0,43.0,42.0,38.0,43.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,45.0,48.0,52.0,51.0,44.0,50.0,49.0,51.0,48.0,45.0,49.0,49.0,89
ftheory,45.0,45,47.0,48.0,48.0,47.0,47.0,52.0,42.0,39.0,39.0,40.0,42.0,43.0,43.0,43.0,47.0,47.0,46.0,52.0,50.0,50.0,46.0,44.0,45.0,44.0,88
horndeski,46.0,43,45.0,43.0,44.0,44.0,42.0,42.0,44.0,45.0,40.0,37.0,42.0,42.0,39.0,39.0,38.0,39.0,38.0,38.0,45.0,44.0,45.0,47.0,42.0,39.0,87
wellknown,37.0,35,35.0,33.0,33.0,34.0,37.0,35.0,35.0,35.0,34.0,34.0,35.0,39.0,40.0,41.0,43.0,41.0,43.0,43.0,40.0,41.0,42.0,46.0,48.0,48.0,87
manybody,47.0,48,52.0,47.0,46.0,49.0,51.0,52.0,52.0,50.0,54.0,54.0,54.0,57.0,57.0,57.0,57.0,57.0,56.0,58.0,57.0,52.0,41.0,39.0,39.0,38.0,86
simplest,46.0,46,48.0,50.0,50.0,50.0,49.0,49.0,48.0,47.0,47.0,47.0,47.0,47.0,48.0,52.0,49.0,50.0,45.0,46.0,45.0,42.0,42.0,40.0,40.0,40.0,86
